EggID NestID Trt LayMass Mass2 Order1fac Order2fac HR1 HR2 scHR1 scHR2 T1 T2
32_7 32 low 1.1946 1.108 1 1 192 NA 0.00947241856452012 NA 0.916666666666667 NA
32_7 32 low 1.1946 1.108 1 1 188 NA -0.175000540954615 NA 1 NA
32_7 32 low 1.1946 1.108 1 1 184 NA -0.35947350047375 NA 1.08333333333333 NA
6_9 6 low 1.1397 1.0173 2 2 NA 310 NA 0.442866752173537 NA 0.333333333333333
6_9 6 low 1.1397 1.0173 2 2 198 NA 0.286181857843223 NA 0.416666666666667 NA
6_9 6 low 1.1397 1.0173 2 2 NA NA NA NA NA NA
6_9 6 low 1.1397 1.0173 2 2 192 NA 0.00947241856452012 NA 0.583333333333333 NA
6_9 6 low 1.1397 1.0173 2 2 NA NA NA NA NA NA
6_9 6 low 1.1397 1.0173 2 2 187 279 -0.221118780834399 -0.593136671803032 0.75 0.783333333333333
6_9 6 low 1.1397 1.0173 2 2 181 NA -0.497828220113102 NA 0.833333333333333 NA
6_9 6 low 1.1397 1.0173 2 2 NA 270 NA -0.893911859409133 NA 0.916666666666667
6_9 6 low 1.1397 1.0173 2 2 180 NA -0.543946459992885 NA 1 NA
6_9 6 low 1.1397 1.0173 2 2 179 259 -0.590064699872669 -1.26152597759437 1.08333333333333 1.08333333333333
6_8 6 per 1.0633 0.9734 3 2 197 267 0.240063617963439 -0.994170255277833 0.333333333333333 0.333333333333333
6_8 6 per 1.0633 0.9734 3 2 196 NA 0.193945378083655 NA 0.416666666666667 NA
6_8 6 per 1.0633 0.9734 3 2 194 255 0.101708898324088 -1.39520383875263 0.5 0.5
6_8 6 per 1.0633 0.9734 3 2 188 250 -0.175000540954615 -1.56230116520047 0.583333333333333 0.583333333333333
6_8 6 per 1.0633 0.9734 3 2 186 245 -0.267237020714183 -1.7293984916483 0.666666666666667 0.666666666666667
6_8 6 per 1.0633 0.9734 3 2 184 NA -0.35947350047375 NA 0.75 NA
6_8 6 per 1.0633 0.9734 3 2 180 NA -0.543946459992885 NA 0.833333333333333 NA
6_8 6 per 1.0633 0.9734 3 2 177 NA -0.682301179632237 NA 0.916666666666667 NA
6_8 6 per 1.0633 0.9734 3 2 175 NA -0.774537659391804 NA 1 NA
6_8 6 per 1.0633 0.9734 3 2 172 NA -0.912892379031156 NA 1.08333333333333 NA
31_3 31 per 1.2391 NA 1 1 NA NA NA NA NA NA
